>850hPa	850-500hPa	500-300hPa	300-100hPa	<100hPa
50527 49.25 119.70 2	50527 49.25 119.70 3	50527 49.25 119.70 4	50527 49.25 119.70 8	50527 49.25 119.70 3
50557 49.17 125.23 1	50557 49.17 125.23 5	50557 49.17 125.23 7	50557 49.17 125.23 8	50557 49.17 125.23 3
50745 47.38 123.92 1	50745 47.38 123.92 4	50745 47.38 123.92 1	50745 47.38 123.92 8	50745 47.38 123.92 3
50774 47.73 128.92 1	50774 47.73 128.92 3	50774 47.73 128.92 5	50774 47.73 128.92 5	50774 47.73 128.92 0
50834 46.60 121.22 0	50834 46.60 121.22 5	50834 46.60 121.22 4	50834 46.60 121.22 8	50834 46.60 121.22 3
50953 45.75 126.77 2	50953 45.75 126.77 6	50953 45.75 126.77 4	50953 45.75 126.77 8	50953 45.75 126.77 3
51076 47.73 88.08 2	51076 47.73 88.08 5	51076 47.73 88.08 6	51076 47.73 88.08 10	51076 47.73 88.08 3
51133 46.73 83.00 2	51133 46.73 83.00 7	51133 46.73 83.00 6	51133 46.73 83.00 12	51133 46.73 83.00 5
51243 45.62 84.85 3	51243 45.62 84.85 8	51243 45.62 84.85 3	51243 45.62 84.85 10	51243 45.62 84.85 3
51288 45.37 90.53 0	51288 45.37 90.53 8	51288 45.37 90.53 4	51288 45.37 90.53 12	51288 45.37 90.53 1
51431 43.95 81.33 2	51431 43.95 81.33 6	51431 43.95 81.33 5	51431 43.95 81.33 10	51431 43.95 81.33 1
51463 43.78 87.65 0	51463 43.78 87.65 9	51463 43.78 87.65 5	51463 43.78 87.65 9	51463 43.78 87.65 0
51628 41.17 80.23 2	51628 41.17 80.23 4	51628 41.17 80.23 4	51628 41.17 80.23 8	51628 41.17 80.23 0
51644 41.72 82.97 2	51644 41.72 82.97 6	51644 41.72 82.97 7	51644 41.72 82.97 7	51644 41.72 82.97 0
51656 41.75 86.13 0	51656 41.75 86.13 9	51656 41.75 86.13 8	51656 41.75 86.13 7	51656 41.75 86.13 0
51709 39.47 75.98 0	51709 39.47 75.98 4	51709 39.47 75.98 3	51709 39.47 75.98 5	51709 39.47 75.98 0
51777 39.03 88.17 3	51777 39.03 88.17 8	51777 39.03 88.17 7	51777 39.03 88.17 6	51777 39.03 88.17 0
51828 37.13 79.93 1	51828 37.13 79.93 3	51828 37.13 79.93 5	51828 37.13 79.93 4	51828 37.13 79.93 0
51839 37.07 82.72 0	51839 37.07 82.72 5	51839 37.07 82.72 9	51839 37.07 82.72 5	51839 37.07 82.72 0
51886 38.25 90.85 0	51886 38.25 90.85 6	51886 38.25 90.85 4	51886 38.25 90.85 8	51886 38.25 90.85 0
52203 42.82 93.52 1	52203 42.82 93.52 5	52203 42.82 93.52 4	52203 42.82 93.52 7	52203 42.82 93.52 0
52267 41.95 101.07 2	52267 41.95 101.07 4	52267 41.95 101.07 7	52267 41.95 101.07 5	52267 41.95 101.07 0
52323 41.80 97.03 0	52323 41.80 97.03 9	52323 41.80 97.03 7	52323 41.80 97.03 8	52323 41.80 97.03 0
52418 40.15 94.68 1	52418 40.15 94.68 9	52418 40.15 94.68 6	52418 40.15 94.68 7	52418 40.15 94.68 0
52652 39.08 100.28 0	52652 39.08 100.28 5	52652 39.08 100.28 2	52652 39.08 100.28 6	52652 39.08 100.28 0
52681 38.63 103.08 0	52681 38.63 103.08 6	52681 38.63 103.08 4	52681 38.63 103.08 8	52681 38.63 103.08 0
52818 36.42 94.90 0	52818 36.42 94.90 5	52818 36.42 94.90 9	52818 36.42 94.90 7	52818 36.42 94.90 0
52836 36.30 98.10 0	52836 36.30 98.10 2	52836 36.30 98.10 5	52836 36.30 98.10 5	52836 36.30 98.10 0
52866 36.72 101.75 0	52866 36.72 101.75 3	52866 36.72 101.75 7	52866 36.72 101.75 6	52866 36.72 101.75 0
52983 35.87 104.15 0	52983 35.87 104.15 7	52983 35.87 104.15 6	52983 35.87 104.15 6	52983 35.87 104.15 0
53068 43.63 111.95 0	53068 43.63 111.95 5	53068 43.63 111.95 6	53068 43.63 111.95 7	53068 43.63 111.95 0
53336 41.57 108.52 0	53336 41.57 108.52 2	53336 41.57 108.52 3	53336 41.57 108.52 8	53336 41.57 108.52 0
53463 40.82 111.68 0	53463 40.82 111.68 4	53463 40.82 111.68 2	53463 40.82 111.68 7	53463 40.82 111.68 0
53513 40.73 107.37 1	53513 40.73 107.37 6	53513 40.73 107.37 4	53513 40.73 107.37 7	53513 40.73 107.37 0
53543 39.83 109.98 0	53543 39.83 109.98 4	53543 39.83 109.98 9	53543 39.83 109.98 6	53543 39.83 109.98 0
53614 38.47 106.20 0	53614 38.47 106.20 9	53614 38.47 106.20 8	53614 38.47 106.20 7	53614 38.47 106.20 0
53772 37.78 112.55 0	53772 37.78 112.55 9	53772 37.78 112.55 8	53772 37.78 112.55 6	53772 37.78 112.55 0
53798 37.17 114.35 1	53798 37.17 114.35 8	53798 37.17 114.35 7	53798 37.17 114.35 6	53798 37.17 114.35 0
53845 36.57 109.45 1	53845 36.57 109.45 10	53845 36.57 109.45 5	53845 36.57 109.45 6	53845 36.57 109.45 0
53915 35.55 106.67 0	53915 35.55 106.67 2	53915 35.55 106.67 8	53915 35.55 106.67 5	53915 35.55 106.67 0
54102 43.95 116.12 0	54102 43.95 116.12 5	54102 43.95 116.12 6	54102 43.95 116.12 9	54102 43.95 116.12 0
54135 43.60 122.27 3	54135 43.60 122.27 13	54135 43.60 122.27 4	54135 43.60 122.27 9	54135 43.60 122.27 0
54161 43.90 125.22 2	54161 43.90 125.22 5	54161 43.90 125.22 4	54161 43.90 125.22 8	54161 43.90 125.22 3
54218 42.30 118.83 1	54218 42.30 118.83 7	54218 42.30 118.83 9	54218 42.30 118.83 8	54218 42.30 118.83 0
54292 42.87 129.50 4	54292 42.87 129.50 14	54292 42.87 129.50 9	54292 42.87 129.50 4	54292 42.87 129.50 0
54342 41.73 123.52 1	54342 41.73 123.52 5	54342 41.73 123.52 4	54342 41.73 123.52 8	54342 41.73 123.52 0
54374 41.80 126.88 2	54374 41.80 126.88 7	54374 41.80 126.88 4	54374 41.80 126.88 8	54374 41.80 126.88 1
